ID,tag,datum,rueckmeld,besichtigt,zeit,adresse,qm,miete,miete_raw,warm,moebel,area,fake,lat,lon
101,17,23/10/13,1,1,18,Greifswalderstr. 164,35,349,349,,,Prenzlauer Berg,,52.542276,13.439655
102,,,,,,Rollbergstr. 39B,28,377,277,,,Neukoelln,,,
103,17,23/10/13,1,1,17,Bachstr. 54,27,347,347,1,,Wedding,,52.546576,13.370171
104,,,,,,Malmoeerstr. 7,38,385,385,1,,Prenzlauer Berg,,52.551703,13.403781
105,19,25/10/13,1,1,15,Bruesselstr. 42,34,389,389,1,,Wedding,,,
106,,,,,,Liezensee,30,430,330,0,,Charlottenburg,,52.5066833,13.2890816
107,17,23/10/13,1,1,11,Manteufelstr.,31,303,303,1,,Kreuzberg,,52.500951,13.427598
108,,,,,,Antwerpener Str. 4,31,319,319,1,,Wedding,,52.547794,13.34952
109,,,,,,Matternstr. 6,32,382,382,,,Friedrichshain,,52.521725,13.452979
110,,,,,,Weidenweg 53,30,366,366,,,Friedrichshain,,52.519073,13.454113
111,,,,,,Schoenhauser Allee,27,332,332,1,,Prenzlauer Berg, ,52.5489082,13.4164305
112,,,,,,Putbusserstr. 8,37,324,324,1,,Gesundbrunnen,,52.543745,13.394634
